Review,Rating,Sentiment,tokenization,Review_Normalized,df_token_stemm,Review_clean
okay,5,Positive,['okay'],['oke'],['oke'],oke
mungil tahan dibawa buat foto bday outdoor,5,Positive,"['mungil', 'tahan', 'dibawa', 'buat', 'foto', 'bday', 'outdoor']","['mungil', 'tahan', 'dibawa', 'buat', 'foto', 'bday', 'outdoor']","['mungil', 'tahan', 'bawa', 'buat', 'foto', 'bday', 'outdoor']",mungil tahan bawa foto bday outdoor
cakepppppp dan expresss bgt   order pagi lgsung dikirim mantabbb,5,Positive,"['cakepppppp', 'dan', 'expresss', 'bgt', 'order', 'pagi', 'lgsung', 'dikirim', 'mantabbb']","['cakepppppp', 'dan', 'expresss', 'banget', 'beli', 'pagi', 'langsung', 'dikirim', 'mantabbb']","['cakepppppp', 'dan', 'expresss', 'banget', 'beli', 'pagi', 'langsung', 'kirim', 'mantabbb']",cakepppppp expresss banget beli pagi langsung kirim mantabbb
kuenya sudah sampai pacar saya juga suka sama rasanya katanya gemesh banget thank youuu,5,Positive,"['kuenya', 'sudah', 'sampai', 'pacar', 'saya', 'juga', 'suka', 'sama', 'rasanya', 'katanya', 'gemesh', 'banget', 'thank', 'youuu']","['kuenya', 'sudah', 'sampai', 'pacar', 'saya', 'juga', 'suka', 'sama', 'rasanya', 'katanya', 'gemesh', 'banget', 'terima kasih', 'youuu']","['kue', 'sudah', 'sampai', 'pacar', 'saya', 'juga', 'suka', 'sama', 'rasa', 'kata', 'gemesh', 'banget', 'terima kasih', 'youuu']",kue pacar suka gemesh banget terima kasih youuu
alhamdulillah mantabbbbbbbb,5,Positive,"['alhamdulillah', 'mantabbbbbbbb']","['alhamdulillah', 'mantabbbbbbbb']","['alhamdulillah', 'mantabbbbbbbb']",alhamdulillah mantabbbbbbbb
fast response lucu imoet,5,Positive,"['fast', 'response', 'lucu', 'imoet']","['cepat', 'tanggapan', 'lucu', 'imut']","['cepat', 'tanggap', 'lucu', 'imut']",cepat tanggap lucu imut
sudah langganan beberapa  beli di sini kue lucu pengiriman cepat admin ramah thanks ya,5,Positive,"['sudah', 'langganan', 'beberapa', 'beli', 'di', 'sini', 'kue', 'lucu', 'pengiriman', 'cepat', 'admin', 'ramah', 'thanks', 'ya']","['sudah', 'langganan', 'beberapa', 'beli', 'di', 'sini', 'kue', 'lucu', 'pengiriman', 'cepat', 'admin', 'ramah', 'terima kasih', 'ya']","['sudah', 'langgan', 'beberapa', 'beli', 'di', 'sini', 'kue', 'lucu', 'kirim', 'cepat', 'admin', 'ramah', 'terima kasih', 'ya']",langgan beli kue lucu kirim cepat admin ramah terima kasih ya
penjual responnya cepat pengiriman walaupun pake grabbike aman dan rapi banget produknya sesuai harapan dan rasanya enyaaak makasiiih yaah semoga sukses dan bakal repeat order produk lain makasih,5,Positive,"['penjual', 'responnya', 'cepat', 'pengiriman', 'walaupun', 'pake', 'grabbike', 'aman', 'dan', 'rapi', 'banget', 'produknya', 'sesuai', 'harapan', 'dan', 'rasanya', 'enyaaak', 'makasiiih', 'yaah', 'semoga', 'sukses', 'dan', 'bakal', 'repeat', 'order', 'produk', 'lain', 'makasih']","['penjual', 'responnya', 'cepat', 'pengiriman', 'walaupun', 'pakai', 'grabbike', 'aman', 'dan', 'rapi', 'banget', 'produknya', 'sesuai', 'harapan', 'dan', 'rasanya', 'enyaaak', 'makasiiih', 'yaah', 'semoga', 'sukses', 'dan', 'bakal', 'ulang', 'beli', 'produk', 'lain', 'terima kasih']","['jual', 'responnya', 'cepat', 'kirim', 'walaupun', 'pakai', 'grabbike', 'aman', 'dan', 'rapi', 'banget', 'produk', 'sesuai', 'harap', 'dan', 'rasa', 'enyaaak', 'makasiiih', 'yaah', 'moga', 'sukses', 'dan', 'bakal', 'ulang', 'beli', 'produk', 'lain', 'terima kasih']",jual responnya cepat kirim pakai grabbike aman rapi banget produk sesuai harap enyaaak makasiiih yaah moga sukses ulang beli produk terima kasih
omg baguuusss banget kuenya ampe gak tega motongnya lom nyobain rasanya saking sayangnya anakku seneeeng banget makasih ya bakalan repeat order lagi buat adiknya,5,Positive,"['omg', 'baguuusss', 'banget', 'kuenya', 'ampe', 'gak', 'tega', 'motongnya', 'lom', 'nyobain', 'rasanya', 'saking', 'sayangnya', 'anakku', 'seneeeng', 'banget', 'makasih', 'ya', 'bakalan', 'repeat', 'order', 'lagi', 'buat', 'adiknya']","['omg', 'baguuusss', 'banget', 'kuenya', 'sampai', 'tidak', 'tega', 'motongnya', 'belum', 'mencoba', 'rasanya', 'saking', 'sayang', 'anakku', 'seneeeng', 'banget', 'terima kasih', 'ya', 'bakalan', 'ulang', 'beli', 'lagi', 'buat', 'adiknya']","['omg', 'baguuusss', 'banget', 'kue', 'sampai', 'tidak', 'tega', 'motongnya', 'belum', 'coba', 'rasa', 'saking', 'sayang', 'anak', 'seneeeng', 'banget', 'terima kasih', 'ya', 'bakal', 'ulang', 'beli', 'lagi', 'buat', 'adik']",omg baguuusss banget kue tega motongnya coba saking sayang anak seneeeng banget terima kasih ya ulang beli adik
thankyouuuuuuuu packing sangaatt rapiihh harga terjangkauuuu fast respon pula,5,Positive,"['thankyouuuuuuuu', 'packing', 'sangaatt', 'rapiihh', 'harga', 'terjangkauuuu', 'fast', 'respon', 'pula']","['thankyouuuuuuuu', 'pengemasan', 'sangaatt', 'rapiihh', 'harga', 'terjangkauuuu', 'cepat', 'respons', 'pula']","['thankyouuuuuuuu', 'emas', 'sangaatt', 'rapiihh', 'harga', 'terjangkauuuu', 'cepat', 'respons', 'pula']",thankyouuuuuuuu emas sangaatt rapiihh harga terjangkauuuu cepat respons
ini kue yg saya cari ternyata ada di toko ini pelayanan toko ini bagus cepat terkirim jgn ragu belanja disini,5,Positive,"['ini', 'kue', 'yg', 'saya', 'cari', 'ternyata', 'ada', 'di', 'toko', 'ini', 'pelayanan', 'toko', 'ini', 'bagus', 'cepat', 'terkirim', 'jgn', 'ragu', 'belanja', 'disini']","['ini', 'kue', 'yang', 'saya', 'cari', 'ternyata', 'ada', 'di', 'toko', 'ini', 'pelayanan', 'toko', 'ini', 'bagus', 'cepat', 'terkirim', 'jangan', 'ragu', 'belanja', 'disini']","['ini', 'kue', 'yang', 'saya', 'cari', 'nyata', 'ada', 'di', 'toko', 'ini', 'layan', 'toko', 'ini', 'bagus', 'cepat', 'kirim', 'jangan', 'ragu', 'belanja', 'sini']",kue cari nyata toko layan toko bagus cepat kirim ragu belanja
chat dg penjual sangat membantu respon cepat barang dikirim dg segera dan tiba dg packing yg bagus dan utuh sampainya luar biasa,5,Positive,"['chat', 'dg', 'penjual', 'sangat', 'membantu', 'respon', 'cepat', 'barang', 'dikirim', 'dg', 'segera', 'dan', 'tiba', 'dg', 'packing', 'yg', 'bagus', 'dan', 'utuh', 'sampainya', 'luar', 'biasa']","['chat', 'dengan', 'penjual', 'sangat', 'membantu', 'respons', 'cepat', 'barang', 'dikirim', 'dengan', 'segera', 'dan', 'datang', 'dengan', 'pengemasan', 'yang', 'bagus', 'dan', 'utuh', 'sampai', 'luar', 'biasa']","['chat', 'dengan', 'jual', 'sangat', 'bantu', 'respons', 'cepat', 'barang', 'kirim', 'dengan', 'segera', 'dan', 'datang', 'dengan', 'emas', 'yang', 'bagus', 'dan', 'utuh', 'sampai', 'luar', 'biasa']",chat jual bantu respons cepat barang kirim emas bagus utuh
packing sangat rapi aman terimakasih banyak,5,Positive,"['packing', 'sangat', 'rapi', 'aman', 'terimakasih', 'banyak']","['pengemasan', 'sangat', 'rapi', 'aman', 'terima kasih', 'banyak']","['emas', 'sangat', 'rapi', 'aman', 'terima kasih', 'banyak']",emas rapi aman terima kasih
prod sdh diterima dg baik tx,5,Positive,"['prod', 'sdh', 'diterima', 'dg', 'baik', 'tx']","['prod', 'sudah', 'diterima', 'dengan', 'baik', 'tx']","['prod', 'sudah', 'terima', 'dengan', 'baik', 'tx']",prod terima tx
terima kasih banyak smg sukses selalu,5,Positive,"['terima', 'kasih', 'banyak', 'smg', 'sukses', 'selalu']","['terima', 'kasih', 'banyak', 'semoga', 'sukses', 'selalu']","['terima', 'kasih', 'banyak', 'moga', 'sukses', 'selalu']",terima kasih moga sukses
kue koyanya enak,5,Positive,"['kue', 'koyanya', 'enak']","['kue', 'sepertinya', 'enak']","['kue', 'seperti', 'enak']",kue enak
packing rapi thx,5,Positive,"['packing', 'rapi', 'thx']","['pengemasan', 'rapi', 'terima kasih']","['emas', 'rapi', 'terima kasih']",emas rapi terima kasih
enaknya pas tapi favorit egg dan lemonnya,5,Positive,"['enaknya', 'pas', 'tapi', 'favorit', 'egg', 'dan', 'lemonnya']","['enaknya', 'pas', 'tapi', 'favorit', 'egg', 'dan', 'lemonnya']","['enak', 'pas', 'tapi', 'favorit', 'egg', 'dan', 'lemon']",enak pas favorit egg lemon
second order highly recommended the best basque cheesecake in the town,5,Positive,"['second', 'order', 'highly', 'recommended', 'the', 'best', 'basque', 'cheesecake', 'in', 'the', 'town']","['second', 'beli', 'sangat', 'recommended', 'the', 'terbaik', 'basque', 'cheesecake', 'in', 'the', 'kota']","['second', 'beli', 'sangat', 'recommended', 'the', 'baik', 'basque', 'cheesecake', 'in', 'the', 'kota']",second beli recommended the basque cheesecake in the kota
cheese cake nya enak,5,Positive,"['cheese', 'cake', 'nya', 'enak']","['cheese', 'kue', 'nya', 'enak']","['cheese', 'kue', 'nya', 'enak']",cheese kue nya enak
suka apalagi bagian gosongnya,5,Positive,"['suka', 'apalagi', 'bagian', 'gosongnya']","['suka', 'apalagi', 'bagian', 'gosong']","['suka', 'apalagi', 'bagi', 'gosong']",suka gosong
respon cepat ennakk banget cheesy but not too sweet  yg bikin sy suka krn ada kombinasi rasa burnt tipis tipis yg memperkaya rasa very recommended buat pencinta cheese cake,5,Positive,"['respon', 'cepat', 'ennakk', 'banget', 'cheesy', 'but', 'not', 'too', 'sweet', 'yg', 'bikin', 'sy', 'suka', 'krn', 'ada', 'kombinasi', 'rasa', 'burnt', 'tipis', 'tipis', 'yg', 'memperkaya', 'rasa', 'very', 'recommended', 'buat', 'pencinta', 'cheese', 'cake']","['respons', 'cepat', 'ennakk', 'banget', 'cheesy', 'tapi', 'tidak', 'too', 'sweet', 'yang', 'buat', 'saya', 'suka', 'karena', 'ada', 'kombinasi', 'rasa', 'dibakar', 'tipis', 'tipis', 'yang', 'memperkaya', 'rasa', 'sangat', 'recommended', 'buat', 'pencinta', 'cheese', 'kue']","['respons', 'cepat', 'ennakk', 'banget', 'cheesy', 'tapi', 'tidak', 'too', 'sweet', 'yang', 'buat', 'saya', 'suka', 'karena', 'ada', 'kombinasi', 'rasa', 'bakar', 'tipis', 'tipis', 'yang', 'kaya', 'rasa', 'sangat', 'recommended', 'buat', 'cinta', 'cheese', 'kue']",respons cepat ennakk banget cheesy too sweet suka kombinasi bakar tipis tipis kaya recommended cinta cheese kue
enak bangett burnt cheese cake nya suka sekali pas semua nya,5,Positive,"['enak', 'bangett', 'burnt', 'cheese', 'cake', 'nya', 'suka', 'sekali', 'pas', 'semua', 'nya']","['enak', 'bangett', 'dibakar', 'cheese', 'kue', 'nya', 'suka', 'sekali', 'pas', 'semua', 'nya']","['enak', 'bangett', 'bakar', 'cheese', 'kue', 'nya', 'suka', 'sekali', 'pas', 'semua', 'nya']",enak bangett bakar cheese kue nya suka pas nya
respon cepat dan andalan,5,Positive,"['respon', 'cepat', 'dan', 'andalan']","['respons', 'cepat', 'dan', 'andalan']","['respons', 'cepat', 'dan', 'andal']",respons cepat andal
puas banget paling cocok dibanding yang lain respon seller juga ok packing bagus jadi sampe rumah bentuk masih bagus bakal reorder deh,5,Positive,"['puas', 'banget', 'paling', 'cocok', 'dibanding', 'yang', 'lain', 'respon', 'seller', 'juga', 'ok', 'packing', 'bagus', 'jadi', 'sampe', 'rumah', 'bentuk', 'masih', 'bagus', 'bakal', 'reorder', 'deh']","['puas', 'banget', 'paling', 'cocok', 'dibanding', 'yang', 'lain', 'respons', 'seller', 'juga', 'ok', 'pengemasan', 'bagus', 'jadi', 'sampai', 'rumah', 'bentuk', 'masih', 'bagus', 'bakal', 'beli lagi', 'deh']","['puas', 'banget', 'paling', 'cocok', 'banding', 'yang', 'lain', 'respons', 'seller', 'juga', 'ok', 'emas', 'bagus', 'jadi', 'sampai', 'rumah', 'bentuk', 'masih', 'bagus', 'bakal', 'beli lagi', 'deh']",puas banget cocok banding respons seller ok emas bagus rumah bentuk bagus beli lagi deh
rasa manisnya pas kejunya juga terasa banget supaya gak enek saya makannya dalam kondisi dingin terima kasih akan order lagi nanti,5,Positive,"['rasa', 'manisnya', 'pas', 'kejunya', 'juga', 'terasa', 'banget', 'supaya', 'gak', 'enek', 'saya', 'makannya', 'dalam', 'kondisi', 'dingin', 'terima', 'kasih', 'akan', 'order', 'lagi', 'nanti']","['rasa', 'manis', 'pas', 'kejunya', 'juga', 'terasa', 'banget', 'supaya', 'tidak', 'enek', 'saya', 'makannya', 'dalam', 'kondisi', 'dingin', 'terima', 'kasih', 'akan', 'beli', 'lagi', 'nanti']","['rasa', 'manis', 'pas', 'keju', 'juga', 'asa', 'banget', 'supaya', 'tidak', 'enek', 'saya', 'makan', 'dalam', 'kondisi', 'dingin', 'terima', 'kasih', 'akan', 'beli', 'lagi', 'nanti']",manis pas keju asa banget enek makan kondisi dingin terima kasih beli
burnt cheesecakenya enak rasanya pas gak kemanisan  bisa dimakan dalam jumlah banyak respon cepet  pengantarannya juga cepet thanks ergu,5,Positive,"['burnt', 'cheesecakenya', 'enak', 'rasanya', 'pas', 'gak', 'kemanisan', 'bisa', 'dimakan', 'dalam', 'jumlah', 'banyak', 'respon', 'cepet', 'pengantarannya', 'juga', 'cepet', 'thanks', 'ergu']","['dibakar', 'cheesecakenya', 'enak', 'rasanya', 'pas', 'tidak', 'kemanisan', 'bisa', 'dimakan', 'dalam', 'jumlah', 'banyak', 'respons', 'cepat', 'pengantarannya', 'juga', 'cepat', 'terima kasih', 'ergu']","['bakar', 'cheesecakenya', 'enak', 'rasa', 'pas', 'tidak', 'manis', 'bisa', 'makan', 'dalam', 'jumlah', 'banyak', 'respons', 'cepat', 'antar', 'juga', 'cepat', 'terima kasih', 'ergu']",bakar cheesecakenya enak pas manis makan respons cepat cepat terima kasih ergu
packing rapi barang sesuai sayang kepanasan dijalan hampir lumer topping nya good lah rasa belum tahu karena puasa,5,Positive,"['packing', 'rapi', 'barang', 'sesuai', 'sayang', 'kepanasan', 'dijalan', 'hampir', 'lumer', 'topping', 'nya', 'good', 'lah', 'rasa', 'belum', 'tahu', 'karena', 'puasa']","['pengemasan', 'rapi', 'barang', 'sesuai', 'sayang', 'kepanasan', 'dijalan', 'hampir', 'lumer', 'topping', 'nya', 'good', 'lah', 'rasa', 'belum', 'tahu', 'karena', 'puasa']","['emas', 'rapi', 'barang', 'sesuai', 'sayang', 'panas', 'jalan', 'hampir', 'lumer', 'topping', 'nya', 'good', 'lah', 'rasa', 'belum', 'tahu', 'karena', 'puasa']",emas rapi barang sesuai sayang panas jalan lumer topping nya good puasa
mantap donatnya enk sukses slalu,5,Positive,"['mantap', 'donatnya', 'enk', 'sukses', 'slalu']","['mantap', 'donatnya', 'enak', 'sukses', 'selalu']","['mantap', 'donat', 'enak', 'sukses', 'selalu']",mantap donat enak sukses
good banget,5,Positive,"['good', 'banget']","['good', 'banget']","['good', 'banget']",good banget
menarik buat anak dan bagus,5,Positive,"['menarik', 'buat', 'anak', 'dan', 'bagus']","['menarik', 'buat', 'anak', 'dan', 'bagus']","['tarik', 'buat', 'anak', 'dan', 'bagus']",tarik anak bagus
donat kentangnya lucu kereeen banget dan rasa nya enakkkk pokok nya mantappp,5,Positive,"['donat', 'kentangnya', 'lucu', 'kereeen', 'banget', 'dan', 'rasa', 'nya', 'enakkkk', 'pokok', 'nya', 'mantappp']","['donat', 'kentangnya', 'lucu', 'kereeen', 'banget', 'dan', 'rasa', 'nya', 'enakkkk', 'pokok', 'nya', 'mantappp']","['donat', 'kentang', 'lucu', 'kereeen', 'banget', 'dan', 'rasa', 'nya', 'enakkkk', 'pokok', 'nya', 'mantappp']",donat kentang lucu kereeen banget nya enakkkk pokok nya mantappp
terimakasih donatnya enak dan cantik datangnya ontime nanti mau pesan cake yg lain lg,5,Positive,"['terimakasih', 'donatnya', 'enak', 'dan', 'cantik', 'datangnya', 'ontime', 'nanti', 'mau', 'pesan', 'cake', 'yg', 'lain', 'lg']","['terima kasih', 'donatnya', 'enak', 'dan', 'cantik', 'datangnya', 'tepat waktu', 'nanti', 'mau', 'pesan', 'kue', 'yang', 'lain', 'lagi']","['terima kasih', 'donat', 'enak', 'dan', 'cantik', 'datang', 'tepat waktu', 'nanti', 'mau', 'pesan', 'kue', 'yang', 'lain', 'lagi']",terima kasih donat enak cantik tepat waktu pesan kue
lucu donutnya anak suka juga thank you,5,Positive,"['lucu', 'donutnya', 'anak', 'suka', 'juga', 'thank', 'you']","['lucu', 'donutnya', 'anak', 'suka', 'juga', 'terima kasih', 'kamu']","['lucu', 'donutnya', 'anak', 'suka', 'juga', 'terima kasih', 'kamu']",lucu donutnya anak suka terima kasih
maaf baru sempat kirim ulasan puas banget sellernya ramah dan pengiriman cepat dapat bonus juga makasih ya gan,5,Positive,"['maaf', 'baru', 'sempat', 'kirim', 'ulasan', 'puas', 'banget', 'sellernya', 'ramah', 'dan', 'pengiriman', 'cepat', 'dapat', 'bonus', 'juga', 'makasih', 'ya', 'gan']","['maaf', 'baru', 'sempat', 'kirim', 'ulasan', 'puas', 'banget', 'sellernya', 'ramah', 'dan', 'pengiriman', 'cepat', 'dapat', 'bonus', 'juga', 'terima kasih', 'ya', 'juragan']","['maaf', 'baru', 'sempat', 'kirim', 'ulas', 'puas', 'banget', 'sellernya', 'ramah', 'dan', 'kirim', 'cepat', 'dapat', 'bonus', 'juga', 'terima kasih', 'ya', 'juragan']",maaf kirim ulas puas banget sellernya ramah kirim cepat bonus terima kasih ya juragan
kereen bangeet baguuus makasih ya kak on time pula,5,Positive,"['kereen', 'bangeet', 'baguuus', 'makasih', 'ya', 'kak', 'on', 'time', 'pula']","['kereen', 'bangeet', 'baguuus', 'terima kasih', 'ya', 'kak', 'on', 'waktu', 'pula']","['kereen', 'bangeet', 'baguuus', 'terima kasih', 'ya', 'kak', 'on', 'waktu', 'pula']",kereen bangeet baguuus terima kasih ya kak on
fast response kuenya enak banget delivery cepat dan aman mantaaaap,5,Positive,"['fast', 'response', 'kuenya', 'enak', 'banget', 'delivery', 'cepat', 'dan', 'aman', 'mantaaaap']","['cepat', 'tanggapan', 'kuenya', 'enak', 'banget', 'pengiriman', 'cepat', 'dan', 'aman', 'mantaaaap']","['cepat', 'tanggap', 'kue', 'enak', 'banget', 'kirim', 'cepat', 'dan', 'aman', 'mantaaaap']",cepat tanggap kue enak banget kirim cepat aman mantaaaap
mantaap cake nya enak dan bagus waktu pengiriman sesuai dengan jadwal dan cepat recommended seller salam  jempol,5,Positive,"['mantaap', 'cake', 'nya', 'enak', 'dan', 'bagus', 'waktu', 'pengiriman', 'sesuai', 'dengan', 'jadwal', 'dan', 'cepat', 'recommended', 'seller', 'salam', 'jempol']","['mantaap', 'kue', 'nya', 'enak', 'dan', 'bagus', 'waktu', 'pengiriman', 'sesuai', 'dengan', 'jadwal', 'dan', 'cepat', 'recommended', 'seller', 'salam', 'jempol']","['mantaap', 'kue', 'nya', 'enak', 'dan', 'bagus', 'waktu', 'kirim', 'sesuai', 'dengan', 'jadwal', 'dan', 'cepat', 'recommended', 'seller', 'salam', 'jempol']",mantaap kue nya enak bagus kirim sesuai jadwal cepat recommended seller salam jempol
pelayanan oke bangey kurnya sampe rumah dengan selamat,5,Positive,"['pelayanan', 'oke', 'bangey', 'kurnya', 'sampe', 'rumah', 'dengan', 'selamat']","['pelayanan', 'oke', 'banget', 'kurnya', 'sampai', 'rumah', 'dengan', 'selamat']","['layan', 'oke', 'banget', 'kur', 'sampai', 'rumah', 'dengan', 'selamat']",layan oke banget kur rumah selamat
rasa enak dan tampilan yg bagus recommended seller,5,Positive,"['rasa', 'enak', 'dan', 'tampilan', 'yg', 'bagus', 'recommended', 'seller']","['rasa', 'enak', 'dan', 'tampilan', 'yang', 'bagus', 'recommended', 'seller']","['rasa', 'enak', 'dan', 'tampil', 'yang', 'bagus', 'recommended', 'seller']",enak tampil bagus recommended seller
kuenya enak banget,5,Positive,"['kuenya', 'enak', 'banget']","['kuenya', 'enak', 'banget']","['kue', 'enak', 'banget']",kue enak banget
wooow kue dan rasa nyaa bener bener maaantaaaab terimakasih gan,5,Positive,"['wooow', 'kue', 'dan', 'rasa', 'nyaa', 'bener', 'bener', 'maaantaaaab', 'terimakasih', 'gan']","['wooow', 'kue', 'dan', 'rasa', 'nyaa', 'benar', 'benar', 'maaantaaaab', 'terima kasih', 'juragan']","['wooow', 'kue', 'dan', 'rasa', 'nyaa', 'benar', 'benar', 'maaantaaaab', 'terima kasih', 'juragan']",wooow kue nyaa maaantaaaab terima kasih juragan
cake tiba dengan aman dan tepat waktu thx,5,Positive,"['cake', 'tiba', 'dengan', 'aman', 'dan', 'tepat', 'waktu', 'thx']","['kue', 'datang', 'dengan', 'aman', 'dan', 'tepat', 'waktu', 'terima kasih']","['kue', 'datang', 'dengan', 'aman', 'dan', 'tepat', 'waktu', 'terima kasih']",kue aman terima kasih
kue nya enak banget dan admin cepet respon dan baik makasih yaaa,5,Positive,"['kue', 'nya', 'enak', 'banget', 'dan', 'admin', 'cepet', 'respon', 'dan', 'baik', 'makasih', 'yaaa']","['kue', 'nya', 'enak', 'banget', 'dan', 'admin', 'cepat', 'respons', 'dan', 'baik', 'terima kasih', 'yaaa']","['kue', 'nya', 'enak', 'banget', 'dan', 'admin', 'cepat', 'respons', 'dan', 'baik', 'terima kasih', 'yaaa']",kue nya enak banget admin cepat respons terima kasih yaaa
pengirimannya cepat jam   sudah sampai di rumah cake nya juga aman tidak hancur thanks,5,Positive,"['pengirimannya', 'cepat', 'jam', 'sudah', 'sampai', 'di', 'rumah', 'cake', 'nya', 'juga', 'aman', 'tidak', 'hancur', 'thanks']","['pengirimannya', 'cepat', 'jam', 'sudah', 'sampai', 'di', 'rumah', 'kue', 'nya', 'juga', 'aman', 'tidak', 'hancur', 'terima kasih']","['kirim', 'cepat', 'jam', 'sudah', 'sampai', 'di', 'rumah', 'kue', 'nya', 'juga', 'aman', 'tidak', 'hancur', 'terima kasih']",kirim cepat jam rumah kue nya aman hancur terima kasih
wangi susu sesuai namanya pengiriman cepat,5,Positive,"['wangi', 'susu', 'sesuai', 'namanya', 'pengiriman', 'cepat']","['wangi', 'susu', 'sesuai', 'namanya', 'pengiriman', 'cepat']","['wangi', 'susu', 'sesuai', 'nama', 'kirim', 'cepat']",wangi susu sesuai nama kirim cepat
kue tart terenak,5,Positive,"['kue', 'tart', 'terenak']","['kue', 'tart', 'terenak']","['kue', 'tart', 'enak']",kue tart enak
senantiasa enak kue tart ter favorit saat ini,5,Positive,"['senantiasa', 'enak', 'kue', 'tart', 'ter', 'favorit', 'saat', 'ini']","['senantiasa', 'enak', 'kue', 'tart', 'ter', 'favorit', 'saat', 'ini']","['senantiasa', 'enak', 'kue', 'tart', 'ter', 'favorit', 'saat', 'ini']",senantiasa enak kue tart ter favorit
kuenya enak banget tapi agak kurang professional dalam handle pesanan pengiriman saya pny telat kalau mau order lebih baik minta disiapkan dari  jam sebelum jam kalian ekspektasi bakalan dikirim apalagi yg rmhnya jauh dari lokasi bakerynya saya sampe kontak admin tokped dan admin wa juga tidak ada rasa bersalah telat kirim sampai hampir  jam padahal sudah diingatkan dari hari sebelumnya,3,Negative,"['kuenya', 'enak', 'banget', 'tapi', 'agak', 'kurang', 'professional', 'dalam', 'handle', 'pesanan', 'pengiriman', 'saya', 'pny', 'telat', 'kalau', 'mau', 'order', 'lebih', 'baik', 'minta', 'disiapkan', 'dari', 'jam', 'sebelum', 'jam', 'kalian', 'ekspektasi', 'bakalan', 'dikirim', 'apalagi', 'yg', 'rmhnya', 'jauh', 'dari', 'lokasi', 'bakerynya', 'saya', 'sampe', 'kontak', 'admin', 'tokped', 'dan', 'admin', 'wa', 'juga', 'tidak', 'ada', 'rasa', 'bersalah', 'telat', 'kirim', 'sampai', 'hampir', 'jam', 'padahal', 'sudah', 'diingatkan', 'dari', 'hari', 'sebelumnya']","['kuenya', 'enak', 'banget', 'tapi', 'agak', 'kurang', 'professional', 'dalam', 'ditangani', 'pesanan', 'pengiriman', 'saya', 'punya', 'telat', 'kalau', 'mau', 'beli', 'lebih', 'baik', 'minta', 'disiapkan', 'dari', 'jam', 'sebelum', 'jam', 'kalian', 'harapan', 'bakalan', 'dikirim', 'apalagi', 'yang', 'rmhnya', 'jauh', 'dari', 'lokasi', 'bakerynya', 'saya', 'sampai', 'kontak', 'admin', 'tokped', 'dan', 'admin', 'wa', 'juga', 'tidak', 'ada', 'rasa', 'bersalah', 'telat', 'kirim', 'sampai', 'hampir', 'jam', 'padahal', 'sudah', 'diingatkan', 'dari', 'hari', 'sebelumnya']","['kue', 'enak', 'banget', 'tapi', 'agak', 'kurang', 'professional', 'dalam', 'tangan', 'pesan', 'kirim', 'saya', 'punya', 'telat', 'kalau', 'mau', 'beli', 'lebih', 'baik', 'minta', 'siap', 'dari', 'jam', 'belum', 'jam', 'kalian', 'harap', 'bakal', 'kirim', 'apalagi', 'yang', 'rmhnya', 'jauh', 'dari', 'lokasi', 'bakerynya', 'saya', 'sampai', 'kontak', 'admin', 'tokped', 'dan', 'admin', 'wa', 'juga', 'tidak', 'ada', 'rasa', 'salah', 'telat', 'kirim', 'sampai', 'hampir', 'jam', 'padahal', 'sudah', 'ingat', 'dari', 'hari', 'belum']",kue enak banget professional tangan pesan kirim telat beli jam jam harap kirim rmhnya lokasi bakerynya kontak admin tokped admin wa salah telat kirim jam
cake nya enak meski menurut saya manis diatas biasa nya,5,Negative,"['cake', 'nya', 'enak', 'meski', 'menurut', 'saya', 'manis', 'diatas', 'biasa', 'nya']","['kue', 'nya', 'enak', 'walaupun', 'menurut', 'saya', 'manis', 'diatas', 'biasa', 'nya']","['kue', 'nya', 'enak', 'walaupun', 'turut', 'saya', 'manis', 'atas', 'biasa', 'nya']",kue nya enak manis nya
walau cakenya bergeser tapi rasanya tetap enak banget,5,Positive,"['walau', 'cakenya', 'bergeser', 'tapi', 'rasanya', 'tetap', 'enak', 'banget']","['meski', 'kue', 'bergeser', 'tapi', 'rasanya', 'tetap', 'enak', 'banget']","['meski', 'kue', 'geser', 'tapi', 'rasa', 'tetap', 'enak', 'banget']",kue geser enak banget
mantap terbaik pengiriman cepat,5,Positive,"['mantap', 'terbaik', 'pengiriman', 'cepat']","['mantap', 'terbaik', 'pengiriman', 'cepat']","['mantap', 'baik', 'kirim', 'cepat']",mantap kirim cepat
mantabs delicious thx ann  for our bday diterima aman,5,Positive,"['mantabs', 'delicious', 'thx', 'ann', 'for', 'our', 'bday', 'diterima', 'aman']","['mantap', 'enak', 'terima kasih', 'ann', 'untuk', 'our', 'bday', 'diterima', 'aman']","['mantap', 'enak', 'terima kasih', 'ann', 'untuk', 'our', 'bday', 'terima', 'aman']",mantap enak terima kasih ann our bday terima aman
enak bgt cakenya admin juga fast respon makasih ya,5,Positive,"['enak', 'bgt', 'cakenya', 'admin', 'juga', 'fast', 'respon', 'makasih', 'ya']","['enak', 'banget', 'kue', 'admin', 'juga', 'cepat', 'respons', 'terima kasih', 'ya']","['enak', 'banget', 'kue', 'admin', 'juga', 'cepat', 'respons', 'terima kasih', 'ya']",enak banget kue admin cepat respons terima kasih ya
